,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
CVRX,0.1852257680797562,0.4823154852382671,0.1518775197396322,0.3849677819744619,0.0608154672971466,정상,-0.387283371812853,-0.4056547819048866,-0.024331682180374,1.166961447791225,-0.2195086683447533
GOOY,0.1269143022296368,0.3469311504330692,0.122790270769828,0.2230146233987203,0.0590259063161998,정상,-0.0139398261604735,0.063751684899829,0.0186742938717765,0.6232459646769919,0.3710482105869284
161390.KS,0.1919584954604409,0.0642863056104567,0.1045812372173906,0.2058024832044703,0.054988152436643,정상,-0.0697780672527234,0.1044373530737153,0.0314253647586981,0.2005585569292678,0.2822312777577695
TEL,0.1331355644623013,0.272592410639676,0.1289350684697652,0.2143135403396976,0.0544091577170473,정상,-0.011298959231954,0.1137385505093969,0.0339779444679202,0.65195621123908,0.697052919216828
KF,0.138656379668665,0.3457776978210443,0.1496411282111702,0.2706983715465502,0.0495444609631986,정상,-0.0978858404046127,-0.2390051291214397,0.0102548606875376,0.7385040886356393,0.9040492266720446
COR,0.1303659417358869,0.2248211602090457,0.0851378189353264,0.1577381213526913,0.0450640087227629,정상,0.0605400559710657,0.0034789471026851,-0.0038218382954218,0.2154255283390278,0.467923463305542
FLKR,0.1636085279590893,0.3375385775114565,0.1544288330450756,0.3124000041784074,0.0449732291923541,정상,-0.0403246093439681,-0.1682639558460101,0.0160842374358336,0.6776674331725161,0.8106050315117987
093370.KS,0.4695222405271828,0.8002018163471241,0.3149462283651465,1.0881621893491802,0.0425329647612087,정상,-0.039737131993764,-1.0104137630462744,-0.0530785562632696,1.0938967136150235,0.7929648241206031
CORZ,0.2245685483507185,0.5677972242415683,0.2263576287809152,0.5567029802193236,0.0384502314164726,정상,0.0166518298928055,0.0942941719489039,0.0742768927299588,1.3443649264218511,0.487784132949544
HFBL,0.2005627360985549,0.2913811050859134,0.1630175780503255,0.3671783014171783,0.0317455968479253,정상,-0.0461277193001403,0.1442136660582433,0.1054630200438391,0.23984327715255,0.3131610124892185
ZYME,0.1413630255970768,0.5793978564648141,0.1367850028632453,0.3589089990396071,0.0267253964540845,정상,-0.0038137991485439,0.0440358991508753,0.0239851689626509,0.7124462985533395,0.2650904926463866
PAHC,0.1119592227883963,0.6359930128159414,0.1115759351360825,0.3176427170232381,0.0156414041163329,정상,0.0496235020974649,0.155661868336233,-0.0004566779799463,0.9144002924461228,0.9695284460920974
DK,0.1876441382291451,0.9593036448492036,0.1703058574632363,0.602981981373281,0.012475431294014,정상,0.0455862742201211,0.0549981616367903,-0.0113683670102961,1.5623667025635632,1.0717205707231088
INDV,0.2841714177314165,0.3710473543880452,0.2321336579054629,0.597077289996233,0.0118376569598757,정상,-0.0083359435305126,0.3086363225789255,0.1745487505648792,1.688806798841,1.2929963057573173
AKO-B,0.2114020982636366,0.2188889171056001,0.1179322286419333,0.3316683179645746,0.003927453288133,정상,0.0464204778313038,0.3881118540578739,0.0373746527334692,0.0577567484965548,0.5015248641861527
TNK,0.2011286474190354,0.3864438183512613,0.1599015362579123,0.4165165628299324,0.0009924296713608,정상,-0.0742506162031417,0.1227259819734081,0.0192255529064317,0.411290579456528,0.5473990342090498
