,R_1M,R_3M,R2_3M,AboveEMA50,Vol20(ann),MaxDD_Pct,R_10D,R_5D,EMA20_SLOPE_10D,EMA20_CURV_20D,UNDER_EMA20_DEPTH,UNDER_EMA20_DAYS,DOWN_STREAK_5D,FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
UWM,0.017426227535666028,0.13480847467185542,0.7709124239327224,0.016115522151318507,0.20345799050342325,-20.045167038136814,-0.057228216451534086,-0.024028256269288506,-0.0014834842870274387,-0.006793806126695166,-0.03032783878577272,11,1,-1.5994189884905672,정상,0.12007544381698909,-0.5668405703726975,-0.024028256269288506,0.18258034410365553,0.431459449277692
CLH,0.06346637194869054,0.037654759388933146,0.039966316145638656,0.03540605041965206,0.18569791895292082,-17.16991031664391,0.021425753343446097,0.016948960428787796,0.0011555270030631276,-0.0022813467223094753,-0.08307706798269043,20,1,-1.624995221253207,정상,0.1505545754065123,0.3172139854761975,0.016948960428787796,0.19423234118186206,0.36898674485450256
CP,0.06980912757976898,0.1560580733102308,0.5929471281442348,0.042264611613779035,0.2033271726663012,-10.558252421911018,0.013575498765902472,0.01682825585168546,0.0012527033455842903,0.0010145561448199909,-0.034246941503559,11,2,-1.65670470685027,정상,0.18704524070085604,-0.009852687272670302,0.01682825585168546,0.3034936167909774,0.30979822064179663
DYNF,-0.009928431568189122,0.07845501310607106,0.7317155232497924,-0.0029285740241707936,0.1209784279464687,-6.492582708419858,-0.03771440404632076,-0.0157854464614422,-0.0006520617532492455,-0.0021003020111087347,-0.01883536732247082,8,2,-1.8052619658680982,정상,-0.3973909137815137,-0.08519465146458893,-0.0157854464614422,0.12781980010341054,0.1516578961588264
MTCH,0.1283289947102073,0.13782867077285244,0.37811856865109295,0.08323322618928408,0.37252598393285535,-20.95937094103887,0.023549053001880482,0.012980112988993486,0.0033171544673256735,-0.001254316241219924,-0.02947246968730899,15,2,-1.8264654518165235,정상,0.2716957880222033,-0.36054951653585876,0.012980112988993486,0.3216481151145838,0.3123425453114439
DNLI,-0.048210956651569714,0.12252006928424275,0.7424645644584383,-0.02753805110010632,0.6296118224227331,-21.67306354896659,-0.1572210063886994,-0.17417495890831336,0.0016952378975727965,-0.012047660864119028,-0.10096390569967462,23,1,-1.8379783320553846,정상,-0.40180657082878324,-2.010723317676686,-0.17417495890831336,0.22900577425535462,0.42297698533098904
GEN,0.11021264709922418,0.3489168765796842,0.6556020525240686,0.0759736960836137,0.38502000851341694,-39.90934845965627,-0.030070315417989324,0.027390297534734875,0.002114743879363936,0.0004129445323428722,-0.047791748838080905,18,1,-1.8414928033089533,정상,0.3653767476262453,0.3072086987178224,0.027390297534734875,0.08949189122399082,0.03775162864236936
MLPX,0.04450736731697025,0.11283919376387996,0.3666211452272187,0.015222173471453049,0.23615730816072367,-9.337803447012538,0.001957113775580721,0.00424859644708131,0.00043127868725342144,-0.0012690889450737552,-0.03418184532653823,20,1,-1.8497046002273452,정상,0.07834247061280442,0.1784986966573494,0.00424859644708131,0.25406078898066764,0.33184386424440393
CGCV,0.016342722951855126,0.08036992378798313,0.8397094299115618,0.00827456789925396,0.10020637546807398,-5.469582002004403,-0.0382129932861458,-0.006908772342448022,-0.00034807530686295864,-0.0028021115433067047,-0.014450502545322541,9,3,-1.8786917450552658,정상,0.041783833852075736,-0.6487014322676854,-0.006908772342448022,0.0857158631270083,0.13155675435780845
LNG,0.10088491675691236,0.0435099829742811,8.599965672416303e-05,0.03181652910690702,0.30081545777880525,-24.748900142407727,0.00845448297533391,-0.020072131642137725,0.00438968258401293,0.002095772499524946,-0.09480437734667213,30,1,-1.9545733347718575,정상,0.11023881677562808,-0.1709555128345588,-0.020072131642137725,0.2627555365161989,0.38395736243121315
