,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
NXTC,1.081549690105688,1.5084725788450717,0.6764996478104659,1.9780573890496829,3.0963682773978736,1.3590885660979601,2.2751868699784414,0.3211620381458349,1.3521604048000087,0.25725497618194804
GLUE,0.7190244844292015,1.6742287171656307,0.5502988757129836,0.9998893923029148,2.9856525191833994,-0.0434045024616978,1.6021285974950392,0.3324411852710394,2.1364703744320845,0.7503115530762385
QURE,0.23237739182066375,4.282082469114982,0.5868692069311809,0.8406049719517334,2.949110157092894,0.1633110920926204,-10.064980149608637,0.17433905532228078,5.37981379452368,2.884340422034256
DYN,0.9035462897733504,1.4094708765334194,0.5844767002900175,1.5550909474552548,2.8241980094665298,-0.5416122772069527,2.056600734464244,0.4404414257182667,1.446823706089389,-0.025339759072073975
BMA,1.058075460857271,0.29264710437075836,0.5236144945286769,1.4459901198059746,2.803310426573357,0.7081201836456303,3.176696269253312,0.5365568303348094,0.03373680474994867,-0.13695918545104369
VICR,0.8685772799488971,1.1306220074846363,0.5343966827227176,1.3052113390548443,2.79335132346461,-0.023468896392963234,0.6868544514588377,0.0595387061452175,1.2870629805525917,0.8335376981512688
GSIT,2.2121840808605358,2.169938093732042,0.9186772420545237,5.826082676088244,2.7484866403990846,0.43256668448273405,-1.83168171735206,-0.10307787274528402,2.539857577293848,2.7203191655418113
EDN,1.0976719276976312,0.15290496782607144,0.5734263003311801,1.6337642994002097,2.717495089799103,1.4083914817979033,4.46914715866586,0.8169159266432806,0.08532158033020187,-0.2746239210703175
FLNC,0.9135263663516937,1.671236877954938,0.5377979219556308,1.7538316637691487,2.6522014950246047,1.6090925803826799,2.2557726667579967,0.32801496503804817,4.0218143243362965,0.24103001296484639
BETR,0.4140192150463686,4.979711525617228,0.5360553897142637,1.8809420051657806,2.4925081906128086,0.3081350332579338,1.7278617834453123,0.17761696104724667,5.031695306505341,7.486672214681073
GGAL,1.0354871310040674,0.16322155826703644,0.5035245281229532,1.587674165037514,2.4475585942359825,0.8699705484023776,3.645645419377507,0.6616130944836212,-0.004126931715439985,-0.12757370376646437
CIFR,0.5856194064310851,3.072035732585812,0.38655981738318457,1.397576155972597,2.443576994482563,-0.007912652370483997,2.3726346707660104,0.211960724885081,5.686018530174519,3.1028089264944727
NGNE,0.9210594185547576,0.5371465197720038,0.3192334654466764,1.3257964167322962,2.2517810427276723,0.5887081219473298,0.13094617569789957,0.05924132013680272,1.5974386991974852,0.3887935566086147
APLD,0.5290006418412745,1.8172834448808568,0.3444998759489326,0.9202040661567443,2.1535773301928014,-0.07891665405462378,0.8828446531865128,0.12035410127385582,5.8545639268196785,3.3780660805301723
RCUS,0.5203143493965923,1.2699204908528525,0.43423004871579685,0.8808264654063986,2.0631817292554717,0.0351833315264547,0.929875800691291,0.20371166246712336,1.5925835326435034,0.3241957183024742
ATXS,0.7637190872727537,0.9682976220089665,0.391506601917452,1.3580812567656113,2.037150322383045,0.17337116735515923,0.12578400555800306,0.02850061722018782,1.991547116712638,0.3696130337970047
NVTS,0.915282768711521,0.7469915855061129,0.40434648615464486,1.7043694081790026,2.013772375835297,0.4057073508087312,-0.6138526245051987,-0.005897948399230635,6.390802194372692,2.6938261399357084
