,rank,production_fms,candidate_score
TFSL,112,-1.5015290506533934,0.7759435076913833
VLO,113,-1.075463330738582,1.655845453039356
VOYA,114,-0.9010743907527791,1.5664661991241244
NLY,115,-2.9643903193626655,0.7021449730183452
GCBC,116,-1.2331359046512782,2.151426405078211
BNY,117,-1.6780641470307847,0.8336380093349212
STT,118,-1.2967094985183847,0.9331389528273941
MSM,119,-2.1642815668215105,0.580116064109946
LFST,120,-1.5130427428079907,0.6838844505228852
INNV,121,-2.8478841157093355,0.8227550517815536
GEO,122,-2.171479384969772,0.4155591382810631
DAVE,123,-1.6403024225878595,0.3482220349664668
477050.KS,124,0.16961262123513865,0.7828661718157819
385550.KS,125,1.8656272027712069,0.7488363559074682
272580.KS,126,1.713510773021312,0.7455400191741879
272560.KS,127,1.6201000868480566,0.7650105733047293
0000Y0.KS,128,1.0291289212903763,0.7389215485007741
0016X0.KS,129,1.1214592743724818,0.7599559891786144
214980.KS,130,1.979811377650283,0.7627652502002201
475280.KS,131,1.3709901969821647,0.7198546655947072
273140.KS,132,0.5215295994158025,0.7597881008159345
278620.KS,133,1.0823694772830124,0.7606469502727761
122260.KS,134,2.000291569786213,0.7568339999447742
0052T0.KS,135,1.1854844250616179,0.748646487188767
473440.KS,136,1.08896006738844,0.7372424219374679
239660.KS,137,1.1618427221016827,0.7327102986419427
480260.KS,138,0.6761962385727593,0.742007433604686
475260.KS,139,-0.314588146217768,0.7347516870435866
JEPI,140,-5.557456550622176,0.5133497687402931
VOO,141,-6.469444461564704,0.44178722160759765
2563.T,142,-7.024419896982092,0.3267074826004604
MSFT,143,-5.125613556969283,0.32082743637909794
JEPQ,144,-6.888764220863379,0.27120209851730687
GOOG,145,-4.189734586844062,0.11631163999914539
VRNS,146,-1.7753552349206418,0.3434818087780623
IBM,147,-8.354647511026487,0.1156935736402522
