,R_1M,AboveEMA50,Breakout120,Slope30(ann),Vol20(ann),FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_3M,R_6M,R_YTD
IBEX,0.43602757297445005,0.4056189291462384,0.0,1.0100223730425886,1.3263807982734044,3.48256408015881,2.1802042162108677,3.402873861332874,0.41360809088435024,0.4940793407403432,0.5871365324962723,0.8321502446859341
PVLA,0.2425581612767378,0.2693712557137684,-0.046840948051804165,3.764938398769646,0.699386031927286,3.475979718255837,-0.14435404724484702,-0.05283471297985187,0.018955973877353482,1.7386005886784042,0.9948172384472114,3.4852413368633846
FLXS,0.3799805046759517,0.1822210709485499,-0.01130751758048787,4.047276818150055,0.5922247688469027,3.4749315315686413,0.05995540458849602,-0.06589178619538005,0.008464022287874462,0.44728974288893997,0.21953742347576255,-0.1388286187841985
BE,0.502614621771099,0.539237275635112,0.0,4.815486128274089,0.8157486024424572,3.4690165040511083,0.09521877213066743,-0.056324478232130826,0.17638528903520623,2.225459499634769,1.5481621994838308,1.867618198160097
CDE,0.3503662449499765,0.3251632584542521,0.0,3.585313607175864,0.369586068168762,3.466888008799601,0.13956524922777547,0.8059939948276589,0.05667616304348,0.7237316229694382,1.3286878091237213,1.570919196509172
EQX,0.3673263210373239,0.33654208886628134,-0.031213188439235595,4.608065856274466,0.5516078730507479,3.4574431999358084,-0.3534124646700434,-0.37035718285176467,0.0828719527654429,0.7125972250716355,0.45912394465566986,1.0013573754508518
CIFR,1.0553305329271812,0.6358680520578319,0.0,6.7803421527442955,1.1343305292786352,3.457179768833738,0.06352941139424306,0.5989019197551553,0.4401657964690173,2.017248370275073,2.481635911996667,1.2142404337777317
PSKY,0.3168353561876289,0.3376923509520431,0.0,3.35577519008459,0.8635355366903436,3.4529875580602347,0.3537655655225671,0.9989046117668061,0.2503630194662765,0.6064298878520449,0.5226193581645016,0.7155357709290304
JOYY,0.2510654925450775,0.15670831255228101,-0.017232418906548252,2.3445067151270633,0.4463731398204042,3.4481946641708956,0.18431761948018321,0.21414214301012846,-0.0024771661457364536,0.30441778241804895,0.5232420832049081,0.47613117662940074
DNTH,0.84932926714574,0.5277258461573371,-0.017934863650961974,5.070780585307137,0.8993620782634412,3.428910242872033,-0.011006717968959912,1.3378297899668126,0.399685320835488,1.201975532459476,0.7501273642911224,0.6141066129201509
