,R_1M,R_3M,R_6M,R2_3M,AboveEMA50,Vol20_Ann,MaxDD_Pct,rank
058470.KS,0.19393939393939386,0.8568706398285104,1.3905819640911825,0.8841629833286244,0.2875627766778317,0.9629782088827945,-49.597316911967994,57
ASC,0.22159939816265517,0.4157163309410119,0.296560935925821,0.8713466264257367,0.164509406525442,0.3819242804701087,-59.255435714259704,58
CF,0.19310329541742877,0.43352699217666246,0.4008876642599688,0.8768234035049378,0.1940361677716962,0.4269044471482821,-28.371237859437027,59
BNO,0.33295730834864123,0.5194310666770621,0.4981728001793513,0.7627158145631899,0.29021797817728734,0.5395516299336355,-26.922686619487834,60
080220.KS,-0.13002114164904865,1.1657894736842107,1.205251875669882,0.8408987389371836,0.06241644347909081,1.327394977955861,-73.66101694915255,61
LBRT,0.12273827666257464,0.35967086713004637,1.7332215073607298,0.9248889371914046,0.16644643351472554,0.3461177489223927,-57.84840875260111,62
CODA,0.21649478390182608,0.6779026398250205,0.9554611474271584,0.8660093899746638,0.238420066002903,0.7374393032301079,-37.34935926930548,63
LASR,0.13384128484100644,0.6117349435714148,1.1845770157372661,0.9168688234523353,0.21029534684837792,1.0994420846562292,-53.932319045518895,64
CSTM,0.03482458215412465,0.373158978558938,0.7691367631575621,0.8958800935357939,0.09936747619250186,0.575870242828291,-63.375751767531476,65
HSHP,0.3141379090336722,0.5393945620468912,0.716838716817231,0.8444370439450539,0.19673319180805948,0.5205691883178809,-49.22860549738052,66
KEN,0.1400235530317031,0.35671128330549684,0.9972972121962105,0.9293178186738239,0.12148777140508105,0.4796855551610238,-16.754588688709028,67
DAN,0.04103610585377471,0.43760651243204896,0.6880123856860354,0.9297278169975436,0.09052352574451583,0.3826979236133661,-44.87610069864532,68
IMMX,0.601068613006615,0.38650411018254793,4.1605454765721355,0.5735371594529497,0.4625077848372767,0.7608083913495282,-59.595514473574674,69
KGS,0.1189892042093601,0.5030584839887049,0.8349519159805345,0.8610715640662817,0.2063659495444785,0.3711726279564201,-38.82065986873445,70
LNG,0.18008588013410254,0.32220896808761723,0.1500053671199122,0.8647030491350196,0.1517565475005962,0.3428374316877603,-24.97406595025812,71
ANIK,0.48385514582060085,0.5923314478747477,0.8413991311416449,0.5345437720263444,0.35158699213729006,0.7312269785920036,-71.74376965575215,72
ARMP,0.5064716773273241,1.0324715483399896,3.134218678089997,0.7650930313589758,0.3790622811790081,1.1212156449384532,-76.96708341007229,73
047810.KS,0.071340713407134,0.5894160583941606,0.7848360655737705,0.8133101528390654,0.07100772229268193,0.9541330727741467,-28.4791981027962,74
222080.KS,0.13914373088685017,0.9176319176319176,1.1469740634005765,0.794181029918221,0.27949058314894626,1.4284122291869636,-57.0754716981132,75
IAU,0.026897261628355595,0.21378582605794638,0.4851959680572664,0.7821180985252418,0.07020902802864293,0.35035900992269065,-12.605507456671805,76
CGAU,0.033253189089117896,0.3390305984847415,1.1812783461014669,0.811405669232109,0.08852168234669744,0.634279965412187,-23.340747873890344,77
INTT,0.30928393173235613,0.7193339281008315,1.0083346493279266,0.8811319305244694,0.3574384414556513,0.6839632145003557,-57.067094425629875,78
LYB,0.2371576532468731,0.5144082181027179,0.4088915684485248,0.8751489600862632,0.24666855346699124,0.4649029915953404,-52.40953536197364,79
ESP,-0.0694973031059517,0.2733025618671583,0.15151276768587052,0.7915183734724187,0.04804167268640458,0.8100702911896857,-27.86133405661656,80
ARIS,0.0488981711701324,0.2771792328053706,1.0862321938731672,0.720032709348983,0.042093504379403957,0.6999484911005316,-28.772454890270705,81
ACHC,0.858644426690772,0.7273206602461562,0.22824693438205657,0.46403195336186553,0.3954684515102962,0.9143147363588559,-84.33323119901621,82
JEPI,0.008926112789368945,0.03405332234131664,0.1296770798954061,0.48189009845953806,0.022836421640087368,0.1509482715348705,-12.366985108024476,83
NLY,-0.005033859529470663,0.039898987718145706,0.1422815249951035,0.056706158056764634,-0.007694459799752473,0.11677185336643005,-19.12816858150872,84
JEPQ,0.00791828991329413,0.004479402350483719,0.12740052867746643,0.06745580436357372,0.02053569020829049,0.20477797547006743,-18.53154012258734,85
VOO,-0.008246623764145422,-0.002873684614823291,0.09934687730378444,0.03667916291582824,0.011519653243543537,0.18517043393444274,-17.66289436558036,86
QQQ,0.0038596250292126655,-0.017400593605208736,0.09632684603571051,0.2607001397414184,0.015255913920619202,0.22899966184858894,-21.291920054271685,87
2563.T,-0.022077874358030325,-0.02468986479543822,0.004815449719688392,0.15346212283582597,-0.014076678159460232,0.18203522321760734,-16.270736218452285,88
