,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
ICOW,0.048714114041821244,0.14349110286998212,0.04655784271860597,0.1590603651464078,0.14014880908051713,정상,0.0006356797672048553,-0.1215973792968606,-0.003116732181193127,0.2283047247587262,0.2874790307013144
SRZN,0.006976861642498333,0.35084324135864,0.08329433897774585,0.1964603836150589,0.14011216096445828,정상,0.02121427693957395,-0.9474869130187349,-0.015451883583238346,0.6009925630609154,-0.07690115138769804
TBPH,0.0324351027773242,0.327119802454084,0.046159560413564504,0.20968709991184986,0.1393931916949375,정상,0.20975170102464588,-0.14366992624273742,-0.00684999639561279,0.4720662114729577,0.47473473513826314
ATMC,0.05392305653008367,0.07497589279273131,0.03414804399292848,0.11718653822270474,0.13889867316002136,정상,0.016144014440078458,0.576341064373296,0.004672391147522381,0.0844510887690102,0.06448844439818235
SBS,0.038309148669922966,0.2907353967916406,0.05553655419127024,0.2253931115243808,0.1376139997836801,정상,0.17905239636930437,-0.16053591427364017,-0.01786778733368166,0.21461160350522634,0.7140525217944038
SSSS,0.10679928612697487,0.23893598420699402,0.14077825522942722,0.5745241720649131,0.13738665617322315,정상,-0.2364009750609144,0.7658462410029507,0.14658337189220916,1.0726815190860677,0.7353489445141872
MEMX,0.0586875003713887,0.1520477402563345,0.05658481891154565,0.2170880086735626,0.13707520873925383,정상,-0.018429720213741313,-0.12537449088866548,0.0038625830710630193,0.2794964968824398,0.233041645923586
EGUS,0.05390234406298622,0.15333239649896235,0.06018301063543374,0.20720878366451823,0.13707179232055006,정상,-0.001429761597535606,-0.026503115017127488,0.013046508012153568,0.326587861463302,0.17618603489630402
DMB,0.03967781527636616,0.11489865199810412,0.035703892208608146,0.09478404598653856,0.1369477526365821,정상,0.050970838858459766,-0.14238100333686454,-0.0100739864557291,0.09472695563839406,0.04638205652027172
EMTY,0.07327296410269502,0.062136079857921356,0.05486959659328128,0.21256110846266604,0.13661137891092098,정상,0.01059033646043997,0.3730600356895477,0.034623688388432994,-0.05302042428365705,-0.05341693447638207
CHY,0.057478638629491874,0.1280035724147386,0.047283404800113615,0.18414103947773236,0.1357560032834611,정상,-0.018400561989319275,-0.06154961704660866,0.0003699372749506047,0.2192613637113121,0.009901915016649276
FEPI,0.05078479869178465,0.15111456996932304,0.05681611252629715,0.1905378341626782,0.13525594871691177,정상,-0.026884712802349997,-0.2196727724699521,0.0004231983772753356,0.2967526040892199,0.1584911299915983
HWM,0.07266021593922956,0.15883227567069436,0.07094275569629804,0.2944674991268507,0.1352016160454414,정상,0.1445969861594687,0.08196399502187321,0.00804804204810261,0.307270410053442,0.7940130464456805
AER,0.06611806626491257,0.24429354629310263,0.08287577138761826,0.3417197733574001,0.13489422070849313,정상,-0.059457589925731774,0.2759979604079237,0.060753043440466614,0.23119616229141382,0.3321447672497393
E,0.07257314164399542,0.10193493232220718,0.05093576613937745,0.22791446661282602,0.1347784366378298,정상,0.060659585280148254,0.04302447590065364,-0.012011113969488063,0.33098860838006594,0.34835322972401817
ROAM,0.05240397188712298,0.12744114422004138,0.04740682909607097,0.16705800459694128,0.13461200849402566,정상,-0.006986747708248087,-0.17321467454821493,-0.004402201508780568,0.24904213762049343,0.2562316335064163
MSTQ,0.05320370605362679,0.14322786684344613,0.05656614898457879,0.19431333290423636,0.13454546552754854,정상,-0.015127051937501412,-0.10780033377687354,0.00659292632801467,0.27645030684762895,0.21278605353597158
YMAG,0.05755463636253855,0.181716795036162,0.06285943280886563,0.24261467474720308,0.13411513676592313,정상,0.01602604390851109,-0.13818715667136183,0.003001288774417299,0.36446901081033345,0.16524933797920638
AOTG,0.06994182489088563,0.16533315848647856,0.06589195885943222,0.28111780062576613,0.13402404961021466,정상,-0.044393787907295756,-0.22046991937744273,0.00010770456780595516,0.3915844306843286,0.259845734252391
ELTK,0.046612170693126176,0.15247301237292965,0.041134216245566124,0.1517464521684807,0.13360857032943468,정상,-0.005999112650075744,-0.11996896658514139,-0.00912212048829486,0.09947668131821241,0.00734297341024992
ARKQ,0.07013592527718382,0.27078647125077326,0.09750314293527862,0.39635712633820874,0.1333021763269567,정상,-0.12569133926676998,-0.4003653494059233,0.013396938028187755,0.7036206568093644,0.5298362938420564
TEAF,0.05985632084241854,0.06928712467480969,0.041678275631771955,0.1503859902217312,0.13290433926068052,정상,0.026465122516687256,-0.0940787049062865,0.0024250563455179286,0.15049201680740798,0.0658768620058936
CACI,0.10229051876371553,0.22941217862445162,0.09733972762927334,0.48436815523745363,0.1317795344201685,정상,-0.055570857889287784,-1.2598967158468857,-0.046009107318261355,0.20524257048341532,0.3527664574409206
SZK,0.05871827728876866,0.14279955669780464,0.07890816066798179,0.25237652202058625,0.1309277507862918,정상,-0.05322114528134364,0.48727132616667823,0.058460659838540874,0.16483769597209785,0.03191907794368487
CLSE,0.045075998274821005,0.14737647232108042,0.05398251954620492,0.16641942498105014,0.13072931868800386,정상,0.0370747590093603,-0.062124594916964926,0.0033670424949072686,0.2325129968308819,0.13521253516585796
IDV,0.04171225434967196,0.09921105019566112,0.03627160094013582,0.09727262316167411,0.13055040565606202,정상,0.02725438481955811,-0.11733006860501316,-0.0031790811030603106,0.21432929417894786,0.37988641619568386
RTX,0.0816086959570046,0.17320629752083727,0.08937609816026493,0.367333935715135,0.13031982368159395,정상,0.03022023443587317,-0.483779129264351,-0.015067270670010458,0.41862825126900405,0.5096312867920367
ASET,0.04662356699389858,0.09956625687616638,0.04137718987497663,0.12331119017476276,0.13001612806046803,정상,-0.007396847528387207,-0.04763130331413756,0.004593083177381718,0.13288419997319356,0.14933310138268796
IQI,0.03777685557981125,0.12078853274975687,0.0363559956419528,0.09729554247822793,0.12892927116669728,정상,0.03406096745114001,-0.13689977759766447,-0.009226881478236915,0.12031580666382147,0.05367011568189284
078600.KS,0.16666666666666674,0.017173051519154603,0.06492630897670826,0.5322527357990889,0.1276390497539613,정상,-0.0708864775056312,-0.5602685316483689,-0.05982905982905984,-0.060975609756097615,0.02941176470588225
EXC,0.0632664317070184,0.09367843235095963,0.03653619597174673,0.17123425286482272,0.12714361367697213,정상,0.03552604932456316,-0.5561742829650896,-0.028264222230612646,0.08268927227322243,0.24679191421485003
QLD,0.07700914094448019,0.2647989679166938,0.0948262566388487,0.4160813678669533,0.12662668672901395,정상,-0.032454308781912716,-0.14046882942813538,0.019795917186443912,0.6204677231255584,0.32956742861425603
NTB,0.09320990685033337,0.03439148921561097,0.05841758219626603,0.2777723861437637,0.12551357576989663,정상,0.08238086730180516,0.8091798579936456,0.05976340864640961,0.13991480834501813,0.24510809298919134
LEGR,0.04666903629617902,0.1308723033626651,0.04634214157273875,0.15261054218452874,0.12547955233272207,정상,-0.005875321915655485,-0.19982033872606514,-0.004429898286080203,0.20686614516233015,0.2437914712448892
IQQQ,0.05378678939072268,0.159835540654921,0.05943441361145063,0.21612506435022036,0.12524629638313317,정상,-0.007143481067616253,-0.08314543496609494,0.008076747502429704,0.29531264486447073,0.16257865641842528
RBC,0.1010531221497033,0.036019612386522626,0.05438356251276,0.3000192223406322,0.12416155152398882,정상,0.18054611455716607,-0.2170142551826033,-0.022049908560327514,0.18623796382375857,0.3185606563864165
HTHT,0.00802541972095594,0.33677396871159293,0.048082185384231924,0.14305943898387505,0.12319894323629726,정상,0.07914461511109372,0.07461210471498708,-0.004642936084141125,0.09604392919792604,0.20092121038329536
FLTW,0.07301077568881742,0.18652893088423972,0.0668910336308155,0.31244415201186215,0.12243500872636612,정상,0.04005152090503836,-0.14079484373763948,-0.0007648405889030263,0.35909705095184186,0.27967209193261544
AFB,0.035563437914925666,0.12071240497114366,0.035356527646224434,0.09163680207944093,0.12240645269100048,정상,0.04932849594821953,-0.09445025085565051,-0.002809662930400303,0.10438363144632223,0.022855409759599876
AVXC,0.05516804553479848,0.147730338187829,0.05187559828540911,0.20349459995054106,0.12138546704717801,정상,0.007395577030577027,-0.09691188552435392,0.00034785620758293057,0.27199553342218286,0.2384884854308882
JADE,0.051436510087310205,0.1930679759482321,0.06327132129482727,0.236111078129385,0.12114889385003808,정상,-0.030105181429312372,-0.13899325568732446,0.0029507585872128317,0.29381519039830084,0.32373943771484837
MOTO,0.05545806486778715,0.1741554952371902,0.061345130655053426,0.23596642997142336,0.12088024441106635,정상,-0.02433666438386084,-0.12636639962949275,0.007121571686694361,0.3250412485273506,0.2402253774151326
AMAT,0.05653718712307376,0.3398251907082519,0.13210730259276815,0.4546297664538151,0.11994075254635977,정상,-0.13035502775816082,-0.6121550075293103,0.008236118671085757,0.5278979783524365,0.3988091536692524
BNS,0.025197803077621206,0.2147795512449795,0.05014529635664089,0.1366640966359595,0.11987482021724516,정상,-0.03016607251030151,-0.038272812815020374,0.005233542630783461,0.35553303146243276,0.23963476365121172
VOD,0.06475297002360225,0.10988199144530197,0.046741908895143736,0.207156187454236,0.11955114135134925,정상,0.062486366427515816,-0.0799371543403199,0.01205279707967355,0.35230966932500496,0.40297902693186183
PJP,0.028527339063983748,0.17604813957124898,0.04356026217989939,0.11482900641515215,0.11954334930016547,정상,0.06340141362107737,-0.26764122095072335,-0.002499055923947946,0.23405290354185238,0.13291817006705497
EPI,0.06116059068091584,0.0729658833965734,0.0285960867569639,0.14302399494756704,0.11945337533662304,정상,0.02300302458430792,-0.05124643998699674,-0.008239049153314859,0.08414818302843696,-0.006411152951955268
VMI,0.06774962780493565,0.15907103284381674,0.06505250405467877,0.2768870003804958,0.11926870169060991,정상,-0.034324405854531476,-0.816865498843109,-0.02022082115168533,0.3663683097849737,0.31485904642203066
XLG,0.04977840586576354,0.15181658816622012,0.0544643923188739,0.19295458681979233,0.11879996435011891,정상,0.008778947974741935,-0.050340025057551474,0.008490291943129114,0.30933714220297914,0.16569687302240954
TD,0.044915211407726696,0.1551508571505753,0.051677689553266015,0.17384842272155476,0.11800953056142116,정상,0.10539036305909544,-0.027914046968456896,0.0029030014294944007,0.3378181714493944,0.549124960714257
BRZU,0.061575868118382227,0.3251864592985969,0.08137381754798012,0.3812463762328118,0.11653541480019611,정상,0.1320000998981134,0.4066804791474373,0.02909062156328246,0.28775817728010633,0.7415894372741854
BAC,0.06714413465551616,0.2046266022660881,0.05696299147739836,0.28957631994813376,0.11648253252569524,정상,0.03798406390849293,0.23644548405043894,0.00043907776419627176,0.31406097442610004,0.19185393234721726
GE,0.05416261212510132,0.17675662799210579,0.06779777150860022,0.24637609353955112,0.11621126093587089,정상,0.05428923698973351,0.000427485552150747,0.014215685746643114,0.48045310849128176,0.8162684605854502
TFPN,0.041470190738717605,0.12727844851652104,0.044528099265972676,0.13507808662275073,0.11563667527557553,정상,0.005311909763824563,-0.07000033996054111,0.005318637895364242,0.17219558167112847,-0.0016167797158195274
